,precision,recall,f1-score,support
76,0.9455587392550143,0.9428571428571428,0.944206008583691,350.0
77,0.9160493827160494,0.8770685579196218,0.8961352657004831,423.0
78,0.9510869565217391,0.9536784741144414,0.9523809523809523,367.0
79,0.8333333333333334,0.8452380952380952,0.8392434988179669,420.0
8,0.946,0.9833679833679834,0.9643221202854231,481.0
80,0.8021201413427562,0.8284671532846716,0.8150807899461401,548.0
81,0.9285714285714286,0.8571428571428571,0.8914285714285715,91.0
82,0.7950310559006211,0.7619047619047619,0.7781155015197568,336.0
83,0.9133858267716536,0.8592592592592593,0.8854961832061069,135.0
84,0.9444444444444444,0.8947368421052632,0.918918918918919,114.0
85,0.9085173501577287,0.9171974522292994,0.9128367670364501,314.0
86,0.8374384236453202,0.9239130434782609,0.8785529715762274,368.0
87,0.9094827586206896,0.9094827586206896,0.9094827586206896,232.0
88,0.9567901234567902,0.9904153354632588,0.9733124018838305,313.0
89,0.9227272727272727,0.9398148148148148,0.9311926605504587,216.0
9,1.0,0.9803921568627451,0.9900990099009901,255.0
90,0.9411764705882353,0.935064935064935,0.9381107491856677,154.0
91,0.9484536082474226,0.9633507853403142,0.9558441558441558,191.0
92,0.9444444444444444,0.8814814814814815,0.9118773946360154,135.0
93,0.7298772169167803,0.7631954350927247,0.7461645746164575,701.0
94,0.9945054945054945,0.9783783783783784,0.9863760217983651,185.0
95,0.6136363636363636,0.5983379501385041,0.605890603085554,361.0
96,0.6661237785016286,0.6715927750410509,0.6688470973017171,609.0
97,0.8232235701906413,0.8133561643835616,0.818260120585702,584.0
accuracy,0.7947208558449588,0.7947208558449588,0.7947208558449588,0.7947208558449588
macro avg,0.8404963045984204,0.8267495060644858,0.8322768405245479,37203.0
weighted avg,0.7944440511640717,0.7947208558449588,0.7932005556013109,37203.0
